rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
63924.6088536928,62515.4885601771,69929.0865177674,80440.2521628795,63038.4077927435,35909.9367335741,35772.4729571474,38383.8468728329,45225.8716614412,38647.3814618912,1,tanh 8
60287.8503256241,60177.058294577,67649.9973861664,79372.3863406532,61262.7638142307,37015.1495044497,36966.3014055521,38887.4478252409,45670.2167742292,39338.3478328332,2,tanh 8
63580.9324314353,61570.6215160286,64147.7175105953,78391.196883367,62516.4087113686,37041.3197114534,37178.0200741392,38663.7194990618,45975.8649442784,39183.3871806896,3,tanh 8
63259.9831677409,61255.7739137247,64294.523384681,75798.9905919714,61831.3433693466,40241.5938336044,36571.5825795811,38555.9518875923,44477.4640015228,39182.3477047042,4,tanh 8
57585.1956242606,57086.5108272359,62357.2156245311,72101.2965199615,57776.5887185914,35823.333388079,36150.0874653871,37661.8004317748,44429.4372304652,38458.9135610052,5,tanh 8
