rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
62132.5200816805,62124.4224276722,69929.0865177674,82109.9343250164,63038.4077927435,36849.2767634169,37446.1217562225,38383.8468728329,45336.9419610975,38647.3814618912,1,relu 64
59752.2254687983,59880.5630196172,67649.9973861664,79534.2424520243,61262.7638142307,37359.6163796549,36693.9168949275,38887.4478252409,45679.2654165733,39338.3478328332,2,relu 64
61611.0972392733,61167.7668812439,64147.7175105953,78814.5953233105,62516.4087113686,37452.0972694101,37052.3681439734,38663.7194990618,46098.8906603558,39183.3871806896,3,relu 64
60233.7616278702,61126.8346234099,64294.523384681,75596.8137041113,61831.3433693466,37437.0222494934,37917.8536101765,38555.9518875923,44463.6156168337,39182.3477047042,4,relu 64
57007.8278936972,56654.8694992253,62357.2156245311,72896.2267317129,57776.5887185914,36601.7232128189,36161.4003097039,37661.8004317748,44536.9686217879,38458.9135610052,5,relu 64
