rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
62041.2101146021,62851.4792470179,69929.0865177674,81790.6030033052,63038.4077927435,36517.9203445983,36400.1805526459,38383.8468728329,45361.2499909182,38647.3814618912,1,tanh 16
59637.6263846129,60708.437115041,67649.9973861664,79546.6358964401,61262.7638142307,36907.6841096513,36984.3655863583,38887.4478252409,45677.9064210211,39338.3478328332,2,tanh 16
61785.5553925218,62046.3473774659,64147.7175105953,78593.8100019748,62516.4087113686,37325.7360294761,37396.7566717869,38663.7194990618,45980.6168312105,39183.3871806896,3,tanh 16
61818.1610760054,60518.8496023251,64294.523384681,75650.3302131223,61831.3433693466,36823.7187897717,36561.2505724451,38555.9518875923,44472.9672863251,39182.3477047042,4,tanh 16
57246.0651614548,57165.2171623312,62357.2156245311,72639.0430078221,57776.5887185914,36218.4783570659,36280.6957871766,37661.8004317748,44517.7896419893,38458.9135610052,5,tanh 16
