rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
62309.9051935665,62259.8581263788,69929.0865177674,81381.0759499767,63038.4077927435,36244.9836917964,36665.4756956472,38383.8468728329,45333.2881338206,38647.3814618912,1,relu 8
60264.0045813,59993.6188219404,67649.9973861664,79214.9910023283,61262.7638142307,36954.2578587424,36960.1950778381,38887.4478252409,45628.2518615214,39338.3478328332,2,relu 8
61456.5665112932,61494.5232089815,64147.7175105953,78568.3081171813,62516.4087113686,37035.500887238,37387.0226698566,38663.7194990618,45934.4544796463,39183.3871806896,3,relu 8
61728.3494795623,61160.9439269719,64294.523384681,75705.3707203449,61831.3433693466,36844.9352575985,36770.8917297194,38555.9518875923,44490.5279059706,39182.3477047042,4,relu 8
59179.8018365725,57768.1731578461,62357.2156245311,71536.6983078132,57776.5887185914,35938.8995869518,36356.5511443898,37661.8004317748,44364.6433033351,38458.9135610052,5,relu 8
