rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
61736.5179817481,63019.5997361077,69929.0865177674,82141.3034452494,63038.4077927435,36887.5664463748,36318.6770971098,38383.8468728329,45361.2386075201,38647.3814618912,1,tanh 32
59734.1284653816,59716.0076979151,67649.9973861664,79769.2354491909,61262.7638142307,37021.9505549024,36839.637292709,38887.4478252409,45685.1978806358,39338.3478328332,2,tanh 32
61079.8510200628,61196.0193960628,64147.7175105953,78919.2107309588,62516.4087113686,37265.7250666624,36723.656653886,38663.7194990618,46133.2647540784,39183.3871806896,3,tanh 32
60358.5274706768,60414.8454436244,64294.523384681,75597.909456471,61831.3433693466,36754.9071239984,36565.9709443703,38555.9518875923,44471.5124208994,39182.3477047042,4,tanh 32
57741.8735370427,57047.6463720214,62357.2156245311,72173.6047921532,57776.5887185914,36672.6558935381,35968.1317742269,37661.8004317748,44474.5851460548,38458.9135610052,5,tanh 32
