rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
61760.3147582612,62591.2212912293,69929.0865177674,82122.3637433912,63038.4077927435,36941.5540982272,37679.3777599426,38383.8468728329,45334.2467755124,38647.3814618912,1,relu 128
59692.2415748615,59830.9841402972,67649.9973861664,79716.0963627095,61262.7638142307,36670.5956307485,36405.9032938185,38887.4478252409,45661.1514953316,39338.3478328332,2,relu 128
60993.7185095781,61100.3447523883,64147.7175105953,78889.0773100063,62516.4087113686,37103.8492918228,36749.8395229591,38663.7194990618,46116.9955903094,39183.3871806896,3,relu 128
60471.5320279785,60387.7325923429,64294.523384681,75605.8756000019,61831.3433693466,37083.8119765796,36426.6770313228,38555.9518875923,44457.9928475048,39182.3477047042,4,relu 128
56671.788156187,56660.8288415458,62357.2156245311,72994.8531649239,57776.5887185914,36279.4500198547,36095.9085404965,37661.8004317748,44545.6293486847,38458.9135610052,5,relu 128
