rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
61918.3578023828,62661.9147228273,69929.0865177674,81982.8606682475,63038.4077927435,36568.2860356709,36051.1289864122,38383.8468728329,45337.1209383835,38647.3814618912,1,relu 16
60446.6321849206,60487.8145088475,67649.9973861664,79373.9717325186,61262.7638142307,36950.453311737,37023.051462878,38887.4478252409,45695.1763132673,39338.3478328332,2,relu 16
62251.1288750264,61829.9569852183,64147.7175105953,78563.5663692125,62516.4087113686,37107.0188809169,37174.859856121,38663.7194990618,45939.8557840834,39183.3871806896,3,relu 16
60724.1487521775,61011.611732096,64294.523384681,75584.755765039,61831.3433693466,36963.4942580752,37262.2590156059,38555.9518875923,44470.2461324749,39182.3477047042,4,relu 16
57464.1442239331,57630.9577222492,62357.2156245311,72562.0888498993,57776.5887185914,36365.1751215551,36607.5104687076,37661.8004317748,44504.1255340521,38458.9135610052,5,relu 16
