rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
61825.987971645,62522.3695422824,69929.0865177674,82118.8751495741,63038.4077927435,36963.0014031226,37876.2731179287,38383.8468728329,45346.6607725163,38647.3814618912,1,tanh 64
59582.5338134608,59444.971153152,67649.9973861664,79734.0975620316,61262.7638142307,37451.5577168569,36502.5363844643,38887.4478252409,45669.404459059,39338.3478328332,2,tanh 64
60997.9360972487,61032.727257229,64147.7175105953,78684.6583648468,62516.4087113686,37368.9540263106,36793.7457786237,38663.7194990618,46073.0004111928,39183.3871806896,3,tanh 64
60267.8166557405,59965.5770812778,64294.523384681,75600.7676757668,61831.3433693466,37128.4745500464,36361.3984163349,38555.9518875923,44474.6902049755,39182.3477047042,4,tanh 64
56788.7686412303,56495.6556197001,62357.2156245311,72993.1255215246,57776.5887185914,36602.3684728986,36298.2466444911,37661.8004317748,44542.3717622037,38458.9135610052,5,tanh 64
