rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
61757.0504980787,62777.6612361772,69929.0865177674,82020.1182739112,63038.4077927435,36599.2524182758,36530.712503629,38383.8468728329,45331.5950402567,38647.3814618912,1,relu 32
59773.1739091189,59960.2496937944,67649.9973861664,79565.0933477711,61262.7638142307,37148.1689308302,37151.4912984087,38887.4478252409,45669.3193142229,39338.3478328332,2,relu 32
61418.1046286376,61330.6596624569,64147.7175105953,78867.0519311974,62516.4087113686,37435.9784230254,37193.6773184753,38663.7194990618,46082.6299029766,39183.3871806896,3,relu 32
60534.8174903934,60679.7359182085,64294.523384681,75583.5131167423,61831.3433693466,37301.1541018828,36896.2266886231,38555.9518875923,44453.9253081164,39182.3477047042,4,relu 32
57141.7823817932,56804.9182170658,62357.2156245311,72716.0784657377,57776.5887185914,36193.8012780023,36129.5912137088,37661.8004317748,44508.3319324218,38458.9135610052,5,relu 32
