rmse_nn,rmse_nn2,rmse_glm,rmse_glm2,rmse_glm_gaussian,mae_nn,mae_nn2,mae_glm,mae_glm2,mae_glm_gaussian,id,run
62052.988512573,62174.9315978672,69929.0865177674,81847.4857925474,63038.4077927435,37227.7184867067,37392.6337401508,38383.8468728329,45306.487527832,38647.3814618912,1,tanh 128
59453.6820770213,59637.1509701482,67649.9973861664,79639.7206378149,61262.7638142307,37591.2260634268,36234.7890125954,38887.4478252409,45648.1696624758,39338.3478328332,2,tanh 128
61686.9177887917,61020.1298011423,64147.7175105953,78814.7626040385,62516.4087113686,37341.7278051434,36338.9745935178,38663.7194990618,46094.0809938064,39183.3871806896,3,tanh 128
60273.7077455703,60589.5069744419,64294.523384681,75606.9276803564,61831.3433693466,37122.0012527638,36323.0106881623,38555.9518875923,44457.6040011645,39182.3477047042,4,tanh 128
56855.9898764616,56512.4053662677,62357.2156245311,73199.8745003433,57776.5887185914,36602.8378394858,35682.4763347667,37661.8004317748,44568.7131800894,38458.9135610052,5,tanh 128
